comment_text,author,votes,time,predicted_emotion,confidence
"Mời thêm Sang Vlog sinh tồn chung kết với Vũ Trụ Vlog mới gay cấn, chấn động VN luôn á, còn mấy người khác chưa đủ trình :(",@hienlovetv,0,2 tháng trước,Sadness,0.6217830181121826
"Mình mua ở đó không được, có thể liên hệ trực tiếp mua bên ngoài được không. Mình rất muốn tham gia cuộc thi tới đây ak.",@ThienNguyen-f3h8t,0,2 tháng trước,Sadness,0.6616925001144409
Đừng để mấy cu nhóc đốt lửa bừa bài trong rừng vậy em ơi. hậu quả nặng nề không giải quyết nổi đâu. Dẹp ngay đi còn kịp,@anhphamsim592,0,2 tháng trước,Disgust,0.43215450644493103
kỹ năng mấy anh này còn yếu quá,@NghiaPhan-wt4sl,0,1 tháng trước,Disgust,0.6869103312492371
 @nhanle0307 Sang vl nói k với diễn😂,@LyNguyen8-k7x,0,1 tháng trước,Sadness,0.5684858560562134
Áo hết hàng hết rồi,@trieuphu3254,0,1 tháng trước,Sadness,0.7726652026176453
CT,@ThắmKiều-b5m,0,3 tuần trước,Sadness,0.8179143667221069
Thấy cá nhìu mà mấy ông ít bắt quá,@Hoàng77-KaKa,0,2 tuần trước,Disgust,0.5244495272636414
"Sinh tồn trong rừng thì Hiếu tv số 1, sinh tồn biển thì Vũ trụ cũng số 1. Mình nghĩ vậy.",@TienNguyen-fr2cs,0,2 tuần trước,Sadness,0.6652733087539673
0,@minhtannguyen-o7f,1,2 tuần trước,Sadness,0.36078131198883057
.,@vitgaming4240,0,3 tuần trước,Sadness,0.584265947341919
.,@ChipSợYêu-v8d,0,3 tuần trước,Sadness,0.584265947341919
Ae tui mà sinh tồn trong rừng có khi khá lâu chưa ở đó mà 5ngay xi nhê j,@AnNguyễn-o2m1r,0,3 tuần trước,Disgust,0.4214455485343933
Gala chắc dừng sớm bớt đau khổ...chứ Vũ Trụ kia hơi mạnh😂,@ThắngDinh-z3k,0,3 tuần trước,Sadness,0.8000032305717468
Gọi ngay con Boss tới tham gia trương trình.thì các thí sinh kia chỉ như là mũi chích iNoc.các em tham gia kĩ năng sinh tồn còn quá yếu.chỉ là tham gia trãi nghiệm cho vui thôi.mà xem video còn cười vì sự hồn nhiên như cô tiên của máy nhóc mà🤣,@lamchanbao4803,0,3 tuần trước,Sadness,0.2665534019470215
.,@quytin4k11,0,3 tuần trước,Sadness,0.584265947341919
Toàn mấy thằng con nhà công tử đi sinh tồn😂,@NguyenKevin-t6p,0,3 tuần trước,Disgust,0.6972618699073792
"Vũ Trụ nói chuyện êm tai mà còn rất giỏi, kĩ năng sinh tồn thì thượng thừa",@hoanchungpham,0,3 tuần trước,Disgust,0.6819977164268494
Mới vô coi nhìn mặt là biết trâu đến cùng rồi,@TomTom-p7y,0,3 tuần trước,Disgust,0.4837725758552551
"Các em tem LâmVlog thiếu sáng tạo quá, sao không làm chủ đề sinh tồn trong Resort 5 sao...",@wenchuchee,0,3 tuần trước,Sadness,0.4225618839263916
Ngáo z ní,@tutran007,0,3 tuần trước,Sadness,0.34508612751960754
Yeahhh!!! Vũ Tru won.  He is my most favorite,@Mykoi123,0,3 tuần trước,Sadness,0.5840986967086792
"Kĩ năng sinh tồn ở nơi hoang vu thực sự rất quan trọng mà. Lơ ngơ là tối mơ thấy ông bà liền😂. Nếu là mình thì ngoài bắt cá, còn có thể đi bẫy chim chuột kiếm tí thịt cho nó bén",@CanhQuanVietNam,0,3 tuần trước (đã chỉnh sửa),Sadness,0.2723289430141449
.,@ximuoi113tvximuoi2,0,3 tuần trước,Sadness,0.584265947341919
Game này quá dể,@ThuK-zr4cl,0,4 tuần trước,Disgust,0.34632939100265503
h,@HuongNguyen-y5k5k,0,4 tuần trước,Sadness,0.6745169162750244
"Tú sinh tồn quá kém, lười kinh khủng, lười mà biện minh là bảo tổn năng lượng. Chòi thì không làm, đi kiếm đồ ăn thì không kiếm, chịu đói hết nổi thì chịu thua, nói chung quá vô dụng, Lâm trả lương để nhân viên làm video kiểu này thì ối giời ôi, yêu cầu team không cho các thành phần vô dụng này vào các video sinh tồn",@thanhvinhnguyen8849,0,4 tuần trước (đã chỉnh sửa),Sadness,0.42735737562179565
Nhìn mấy cậu ấm chán nhể 😂,@KimtoanVo-b4o,0,1 tháng trước,Sadness,0.5694293975830078
th Giang lè nhà lè nhè rách việc thật,@tegony1,0,1 tháng trước,Disgust,0.5387643575668335
Tú chán quá,@nguyenphong2507,0,1 tháng trước,Sadness,0.8993495106697083
Toàn người không có kinh nghiệm,@hinu-h9d,0,1 tháng trước,Disgust,0.41407233476638794
Mình nghĩ nên thêm có muối hoặc muối hảo hảo cho mấy bn ăn đở nhạt 😅 nhìn ăn nguyên bản tội wá😂,@KhanhLinh-rg4kp,0,1 tháng trước,Sadness,0.37988075613975525
"đáng lẽ ra mấy clip gọi là sinh tồn, team nên mời hoặc tuyển chọn kĩ chút cho clip hấp dẫn, chứ sinh tồn mà xem đơn giản quá hok gay cấn hấp dẫn",@THTuan,0,1 tháng trước,Disgust,0.5493007302284241
Sinh tồn kiểu gì mà không có động lực gì hết vậy. Kiểu chơi chơi cho có,@TienNguyen-mb1yp,0,1 tháng trước,Disgust,0.5882431268692017
Ông Vũ Trụ ổng sinh tồn chuyên nghiệp rồi. Team ông Lâm tham gia lót đường chứ nhìn mấy ổng lười vs chân quá,@Duagaming63,0,1 tháng trước,Disgust,0.7373698353767395
Ông vũ trụ bị out trình quá ròi,@DragonBlack-n4j,0,1 tháng trước,Disgust,0.6274281740188599
.,@HoàngNguyễn-d9l7x,0,1 tháng trước,Sadness,0.584265947341919
Tym,@ĐÌNHTHINGUYÊN-g5k,0,1 tháng trước,Disgust,0.38072797656059265
"Sau này có làm clip sinh tồn thì cho thằng tú nó ở nhà đi anh Lâm, có nó đi tốn đồ ăn chứ chẳng được tích sự gì,nhìn nó như thằng làm biến, không có chút nào gọi là năng lực,clip sinh tồn nào có mặt nó là mất vui",@OngnoiMayne-wi3kz,0,1 tháng trước,Disgust,0.48407867550849915
Thông minh thật ban ngày ko lo nhóm lửa dụng trại đi.. tối mấy lọ chịu.. nói thật lỡ có bắt đk mồi trả nhé ăn sống 😂😂😂😂,@TopHoi,0,1 tháng trước,Fear,0.46078744530677795
tập này toàn công tử xem chán vc 😂,@TranHau-qt5mm,0,1 tháng trước,Sadness,0.7347070574760437
cái mặt ông áo xám giống thầy giáo 3,@16promaxIphone-t4u,0,1 tháng trước,Disgust,0.6517742276191711
Mời ông Vũ Trụ Vlos thì khỏi nói 😅 cha đó sinh tồn đỉnh à nha 😅 mấy khách mời kia gg là cái chắc,@KhaNguyen-zf3sr,0,1 tháng trước,Disgust,0.6235393285751343
Vũ trụ trắng chắc rồi.,@PhiNguyen-cb8nx,0,1 tháng trước,Sadness,0.9083656668663025
Hi. chào cả nhà.,@HuyOnTheGo,1,1 tháng trước,Sadness,0.6260948777198792
"Anh ân, 9:37 9:39 Ân gói dấy bạt 😂",@trongtri01,0,1 tháng trước,Sadness,0.4245224595069885
Nếu mà tôi mà đi tham gia trong rừng như này cle bản thân mình sống một tháng luôn quá,@LangvănTân-x1j,0,1 tháng trước,Sadness,0.36293765902519226
Haizzzzz vừa tạo acc gặp trùm cuối :(,@VuNguyen-ls4up,0,1 tháng trước,Sadness,0.8746007680892944
Sao ekip ko đem theo lều ta 😂,@PhátTrần-j3b,0,1 tháng trước,Sadness,0.49125105142593384
moi vo thay ong vu tru biet thang vong` nay r kkk,@tuenguyen5569,0,1 tháng trước,Sadness,0.5482822060585022
Ah lâm làm cả ngàn clip đánh lửa mà mấy ông này đánh nhìn hài vãi😢 éo hiểu kiểu gì,@mintodeloc7377,0,1 tháng trước,Disgust,0.6914710402488708
.,@tichuotchaotuibay,0,1 tháng trước,Sadness,0.584265947341919
.,@tranquoctrung8279,0,1 tháng trước,Sadness,0.584265947341919
Anh Vũ Trụ nhìn giản dị hiền lành quá,@Shuynday23,0,1 tháng trước,Disgust,0.38869401812553406
Từ đầu clip là bik ai thắng r.. a Vũ trụ sinh tồn dữ quá,@onizuka7411741,0,1 tháng trước,Fear,0.3042333424091339
"Ông vũ trụ khóc hay sao í thấy nước mắt rớt
😢😢",@PhongBuiduy-i9h,0,1 tháng trước,Sadness,0.909514844417572
"đông người như vậy thì khoảng bao nhiêu ng quay camera mới quay kịp nhỉ , e tò mò hihi",@LanTrình-v5v,0,1 tháng trước,Sadness,0.45532503724098206
"Ông Giang nc phân tích kiểu tri thức , triết lý múa lửa là tui nghi nghi tạch sớm rồi 😂😂",@thanhtungtran394,2,1 tháng trước,Disgust,0.6363770961761475
bạn ơi nhưng ko phải người đầu tiên kaka,@taixỉusepgiang,0,1 tháng trước,Sadness,0.5130472183227539
Sinh tồn mà tú ngủ z thôi còn j là thi sinh tồn,@lamvohoang3050,0,1 tháng trước,Disgust,0.43357768654823303
Ôg win đó nhìn ôg quỷ  điệt vc,@HungNguyen-bw5rs,0,1 tháng trước,Disgust,0.47340768575668335
"Người miền Tây k làm tôi thất vọng,10đ , Sinh tồn mà chill như đi du lịch=))",@ĐạtTrầnPhước-t5i,0,1 tháng trước,Sadness,0.6903291344642639
Ông tú phế vật trả biết lm qq gì thôi,@Vinhca196,0,1 tháng trước,Disgust,0.39411237835884094
Chuc mung em vu tru co kha nang chien thang nha co len 😮🎉🎉🎉😊,@范玉饒-c4i,0,1 tháng trước,Sadness,0.5768869519233704
Mấy ông kia chơi kiểu cho có . A vũ trụ quá hấp dẫn,@VyLuu-um7zh,0,1 tháng trước,Disgust,0.6073889136314392
Thằng ko mag ao di quay.thah ngồi rứa nằm ngu.kich ban co sẵn ….chán 😊,@chunglengoc5328,0,1 tháng trước,Sadness,0.4466205835342407
Máy ông này sinh tồn mà tháy hơi tội nha 😅,@Xuânhóa-x2t3c,0,1 tháng trước,Disgust,0.6160980463027954
Ông vũ trụ thì ao trình quá,@Truyenngan04,0,2 tháng trước,Disgust,0.36230307817459106
Toàn bọn gà công ngiệp😂 trừ vũ trụ,@Hàngbãigiátốt,0,2 tháng trước,Disgust,0.6001643538475037
Mình xinh tồn 10 ngày còn được .vụ trụ volog xinh tồn Qên rồi sao chơi lại.nen thắng là tất nhiên rồi,@tatio9475,0,2 tháng trước,Sadness,0.4072498679161072
Thằng tú mà chơi cái gì chỉ ở nhà ăn thôi,@quochailuu551,0,2 tháng trước,Disgust,0.6387664675712585
Anh nhìn già hơn rồi😢,@HoangNguyen-dv3yz,0,2 tháng trước,Sadness,0.8347172737121582
"Mỗi người 1 nơi chứ.
Ở gần nhau ntn. Chưa kịch tính lắm",@ChOMTV93,0,2 tháng trước,Sadness,0.736321210861206
Chả ra cái quái gì mà cũng có người xem,@WWTIENNGA,0,2 tháng trước,Disgust,0.4146432876586914
🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,@baothie557,0,2 tháng trước,Sadness,0.7770162224769592
Sinh tồn thì được một mình ông vũ trụ out trình..  còn mấy ông kia công tử bột biết kĩ năng sinh tồn là gì đâu..,@hoanglinhnguyen9942,0,2 tháng trước,Disgust,0.44915956258773804
Sinh tồn lâu ngày mà nhìn cái chòi là thấy ko ổn rồi 😂😂,@HơnA-o1e,0,2 tháng trước,Sadness,0.7167305946350098
Có vũ trụ vlog thêm sang vlog nữa sinh tồn cả năm😂,@Lee_of,0,2 tháng trước,Sadness,0.5232505202293396
Anh,@giangthihoa6368,1,2 tháng trước,Sadness,0.8191767930984497
Mấy bạn có ai biết chính xác chổ nào ở Tánh Linh Bình Thuận ko ạ? Cho mình xin location với 🥲,@chienvo4604,0,2 tháng trước,Sadness,0.4105101525783539
Cho thằng tú out hộ cái. Vd sinh tồn nào cũng chỉ nằm ngủ rồi out. Chả có tác dụng gì,@huyHoàng-v8q5n,0,2 tháng trước,Disgust,0.5762662291526794
Chưa xem thì đã biết kết quả rồi. Người thì lm bên sinh tồn quá rành với dễ thích nghi. Người thì hùi giờ chỉ là người bình thường hoặc chơi để cho vui thì xem sao mà hấp dẫn đc? Mất cân bằng game.,@VuPhan-n4h,0,2 tháng trước,Sadness,0.4618871510028839
Mấy khứa này đi sinh tồn mà làm biến vãi thiệt,@sangvan4684,0,2 tháng trước,Disgust,0.6565567255020142
Tập này chán tài nguyên nhiều z mà kĩ năng hơi yếu có mỗi chú vũ trụ vớt vát đc,@GiangLan-f2x,0,2 tháng trước,Disgust,0.3941906988620758
Nhìn mấy ông thành phố nhìn kỹ năng kém thật sự làm nhà mà như mấy đứa con nít làm trò chơi cơm canh😅,@duongtranvlog1488,0,2 tháng trước (đã chỉnh sửa),Disgust,0.7347106337547302
công tử bột không có anh vũ trụ là hayy,@NHD.2005,0,2 tháng trước,Disgust,0.5165441036224365
Câu ngu lại bảo cá không ăn,@NamNguyễnhoàng-f3l,0,2 tháng trước,Disgust,0.7152458429336548
"Mình có xem clip của vũ trụ, xem clip sinh tồn thì vũ trụ thắng chắc rồi.",@haphihai9407,0,2 tháng trước,Sadness,0.3975105881690979
Gì chứ có Vũ Trụ tham gia là thấy win rồi ổng trùm sinh tồn mà 😂,@soilj5421,0,2 tháng trước,Disgust,0.5758073329925537
Em rất mong a lâm mời em trong cuộc đời :(( em thật sự rất muốn tham gia bản thân cùng vs thử thách của anh,@RopKa-m6s,0,2 tháng trước,Sadness,0.5433257818222046
"mọi người: củi ướt, mưa dột, lửa không lên, chòi lạnh,...
Vũ trụ: ăn cá, măng, khoai, làm chòi, ... =)))",@nguyenkhang4141,0,2 tháng trước,Sadness,0.8639277219772339
H cái bụng kh khác gì bụng bầu,@NguyeninhKhoi-zb2qk,0,2 tháng trước,Sadness,0.6181320548057556
"Đội nhà chỉ có Thương là đủ trình để chiến với những khách mời khủng long. thương Thương, chơi gì cũng hết mình, mà thắng thì lúc nào cũng chia sẽ người nhì hay đồng đội.",@dailoitv7582,0,2 tháng trước,Sadness,0.43923819065093994
Mấy og nầy mà sinh tồn gì vô cho vui chứ có kỹ năng đâu chơi.   Có og vũ trụ có kỹ năng bình tĩnh nhìn là biết ai thắng r,@LocPham-ik2ej,0,2 tháng trước,Disgust,0.6699901819229126
Vũ trụ còn sinh tồn tay không được có đồ hỗ trợ thì biết kết quả rồi đó,@chuvang4910,0,2 tháng trước,Sadness,0.46120089292526245
"Thằng tú giỏi ăn biến làm , đi sinh tồn như vậy thà khỏi đi",@TinTin-er7qv,0,2 tháng trước,Disgust,0.6750350594520569
Đối thủ của anh thương saoo,@AnhTuann2Q,0,2 tháng trước,Sadness,0.780616044998169
"Tk tú này phế vật ăn hại, nên cho ra khỏi team",@HoàngNg-b3q,0,2 tháng trước,Disgust,0.5910294651985168
Hồi hộp quá ạ 😊,@phuocmeme98,0,2 tháng trước,Sadness,0.715088427066803
Ủng hộ bạn Vũ trụ vlog 1 dký vì phần thể hiện xuất sắc của bạn,@khoaoan2644,0,2 tháng trước,Sadness,0.6764245629310608
Ông vũ trụ ổng nói ở 10-20 bữa là nói thiệt đó,@MinhHiếuTrầnDương,0,2 tháng trước,Disgust,0.5505871772766113
Em nghĩ anh lâm làm một tập ở rừng cấm trại 2ng1đ đi thú vị lắm,@BeNguyen-f1u,0,2 tháng trước,Disgust,0.25533512234687805
51:00 : gâu ờ gây đình 😇,@Gilz-e-a,0,2 tháng trước,Disgust,0.5813737511634827
Nói chung ai cung dc trừ thag bắc kỳ . Lắm mồm ko làm dc cái tích sự j,@sangtien7019,0,2 tháng trước,Disgust,0.5518929958343506
"Ô 43:38 là thuộc tuýt ng mõm và nói khá nhiều, kĩ năng sinh tồn cũng chả có gì, dc cái văn dài, ae có thấy thế ko😂😂",@manuciansnvb9357,4,2 tháng trước,Disgust,0.4877326786518097
"32:10 Đề nghị lần sau còn sinh tồn ko cho cu Tú đi,hhh,ko có kĩ năng sinh tồn, chỉ dc mỗi cái nhịn đói, nhà thì ko làm ,chán ổng gì đâu,phí mất 1 slot😅😅😅",@manuciansnvb9357,1,2 tháng trước (đã chỉnh sửa),Sadness,0.7336412668228149
0,,0,2 tháng trước,Sadness,0.36078131198883057
Mua áo mấy lần mà k đc mời đi sinh tồn,@SyVan-hg7vw,0,2 tháng trước,Sadness,0.8129642605781555
Sao ông tú ổng lười ta 😂,@FutureAI-life,0,2 tháng trước,Disgust,0.6502643823623657
Chơi sinh tồn mà có ô Vũ Trụ thì ai chơi lại😂,@tamvuongvan9448,0,2 tháng trước,Sadness,0.6897648572921753
PHD edit thua xa a lâm vlog,@amthucgamenew,0,2 tháng trước,Disgust,0.6285355091094971
A góp ý...cho các bạn dựng trại khoản cách xa xíu... chứ sinh tồn mà tập trung nhìn không hấp dẫn lắm..,@NhatquangHoson,0,2 tháng trước,Sadness,0.33613887429237366
bếnn cát nèeee,@gkvlog2009,0,2 tháng trước,Disgust,0.27563175559043884
ai cugnx hay hết tcung mong đc 1 lần trải nghiệm nhu mng tha~ tim,@VTTgaming2496,0,2 tháng trước,Sadness,0.6415250897407532
"Game này sao không chơi kiểu Đạo tặc ta , dui á , bên kia đi làm đồ cái mình qua xin xíu đồ ăn với nước , khỏi cho để dành :))))",@Cole-VN,0,2 tháng trước,Disgust,0.4986109137535095
m,@XuanTruongVu-pn4ui,1,2 tháng trước,Disgust,0.24883446097373962
"thấy dàn thí sinh đợt này kiểu ko thực sự nghiêm túc với thử thách chương trình. Ông thì về do nhớ vợ, ông thì thèm thuốc (mình thừa biết là tham gia sẽ ko có thuốc hút mà vẫn nhận lời), ông thì kêu ko tạo ra lửa được do ƯỚT trong khi mọi người đều tạo lửa đc.",@Hihi-bd6tm,3,2 tháng trước,Sadness,0.5311343669891357
19:13 😂 to dị,@nghiatranhieu8640,0,2 tháng trước,Disgust,0.41669976711273193
Ông vũ trụ này mà thua về khỏi làm video sinh tồn luôn di nha😅,@CảnhNguyen-y2q3k,1,2 tháng trước,Disgust,0.5233882665634155
"video sinh tồn mà Tú ko thấy có trách nhiệm gì cả . video nào cũng vậy , tẻ nhạt , lãnh xẹt . ko có ý chí , cống hiến cho video thêm hay",@haidenvlog,0,2 tháng trước,Disgust,0.7016199231147766
 @Hihi-bd6tm  đừng quá khắc khe,@36.huynhtrivinh18,0,2 tháng trước,Disgust,0.533162534236908
Làm sao mà chơi với ông Vũ trụ được ông đi sinh tồn suốt,@ucnguyen3891,0,2 tháng trước,Disgust,0.26721563935279846
a e vo kenh vu tru theo doi ong i  ong de~ men' lam nhung kenh  it' ngu bit' toi theo doi ong lau lam' rui',@NguyễnNguyễnlêthiênphúc,1,2 tháng trước,Sadness,0.6078060269355774
Ah làm ma sói đi ah,@GiangTruong-et7rg,1,2 tháng trước,Fear,0.2637931704521179
ANH THƯƠNG MÀ ĐẤU VỚI ANH VŨ TRỤ VLOG AI SẼ CHIẾN THẮNG NHỈ?,@lyly-i8w9d,0,2 tháng trước,Sadness,0.5838246941566467
:hand-orange-covering-eyes:,@linhtú7749,0,2 tháng trước,Sadness,0.6460981965065002
Ông Thắng thấy ổng muốn khóc luôn á😢😅,@ThMyy-z9u,0,2 tháng trước,Sadness,0.6936118006706238
"Tú chơi chi tốn slot vậy trời, đúng kiểu thế hệ cợt nhã",@binhthanh899,0,2 tháng trước,Disgust,0.724500834941864
Gặp toàn thứ gì đâu ko tú vô dụng rồi thèm thuốc bỏ cuộc rồi nhớ vợ nhớ con hay nhớ lonn ko biết nữa toàn thứ gì đâu cũng mời sinh tồn,@VuNguyen-tu4sg,0,2 tháng trước,Sadness,0.7320393323898315
"Nên đuổi t.tú đi thấy sẽ tốt hơn ăn chơi tụ tập bạn bè hút chích nó ko bỏ đc đâu thấy cách nó sinh tồn là hiểu rồi ngủ đến 1,2 trưa mới dậy ko có ít gì cho team đuổi cho rồi",@VuNguyen-tu4sg,0,2 tháng trước,Disgust,0.565802812576294
Mẹ coi quảng cáo hoài khó chịu vc,@hueho3478,0,2 tháng trước,Sadness,0.35994458198547363
"Anh Vũ Trụ thứ dữ luôn r á
coi bộ căng à:))",@PhuongHong-ud3be,0,2 tháng trước,Fear,0.38525041937828064
Bọn này đi cùng ko có cá thì chết đói hết,@TTienGia,0,2 tháng trước,Disgust,0.42972031235694885
Tem lâm vlog mà sinh tồn cái gì. Chỉ được cái tham gia ăn uống là giỏi,@SangTV-g9e,0,2 tháng trước,Disgust,0.7433457970619202
Nhìn ông vũ vs ông lâm hao hao giống nhaooow😂,@TraMiHoangNgoc,0,2 tháng trước,Disgust,0.43442684412002563
Làm seri người cuối cùng ngừng sống đi anh. em sẽ đăng kí kênh anh ạ,@quangnguyennguyen4762,0,2 tháng trước,Sadness,0.5116913318634033
Cớ vũ trụ thì chỉ có sang vlos mới diệt đuoc thôi,@loakeominhphat4361,0,2 tháng trước,Disgust,0.35939735174179077
Tú vô dụng,@BinhPham-xm3kh,0,2 tháng trước,Disgust,0.6507574915885925
Nhìn mấy chú tội 😞,@tentaola-b8c,2,2 tháng trước,Sadness,0.9153136610984802
"Ông Vũ trụ đâu lạc vào đây vậy,mời ông này chơi sinh tồn chắc 10 năm ổng vẫn sống nhăn",@caovanphan2535,0,2 tháng trước,Disgust,0.39067623019218445
"đẩy nhanh cái sinh tồn đi anh cuốn quá 
ủng ông VŨ TRỤ ĐẲNG CẤP VL",@nguyentrunghieu6298,0,2 tháng trước,Disgust,0.36142438650131226
clip ngủ bờ ngủ bụi chứ sinh tồn méo gì =))),@khapham6784,1,2 tháng trước,Disgust,0.279721736907959
Có ông vũ trụ thấy được còn mấy ông kia tướng công tử k sinh tồn cái gì,@TonTruong-e1z,0,2 tháng trước,Disgust,0.43338510394096375
Mẹ ơi nhìn tội 😢,@SavLý-m3r,0,2 tháng trước,Sadness,0.9073591828346252
"Tú gà, tú đội gì nhìn chán",@tungbuivan9321,0,2 tháng trước,Disgust,0.3997285068035126
Chưa thi biết kết quả 🎉,@duythong1338,0,2 tháng trước,Sadness,0.5710975527763367
.,@TuấnAnhNguyễn-c5f,0,2 tháng trước,Sadness,0.584265947341919
Em theo dõi teem anh lâu rồi nhưng anh thấy lần sinh tồn này anh vũ trụ mới thực sự là đúng sinh tồn. Còn những người khác kiểu cố làm cho qua clip 😊,@PhuongThao-ub1ow,0,2 tháng trước,Sadness,0.46822866797447205
@Ku đen đây  sinh tồn cũng kinh lắm,@TopGoals123,0,2 tháng trước,Fear,0.4236071705818176
Thiếu Thương em a lậm rồi rồi,@TopGoals123,0,2 tháng trước,Sadness,0.910262942314148
"Game sinh tồn ❌
Game chịu đựng ✅ 
Kỹ năng vừa yếu vừa ko có nhiệt quyết. Coi mà chán",@thanhnhutdo3914,0,2 tháng trước,Sadness,0.7322690486907959
thuê thằng mấy thg mặt chảy sữa Free fire đi ssinh tồn :)) ko cho đồ chắc chết từ ngày 2,@minhthanh962,0,2 tháng trước,Anger,0.35217928886413574
chịu luôn á ông bỏ cuộc vì thèm thuốc ông bỏ cuộc vì nhớ vợ :),@tuyentrieu4502,0,2 tháng trước,Sadness,0.8086669445037842
Em cũng muốn tham gia và khá tự tin về khả năng sinh tồn nhưng em ở tận Thái Nguyên xa quá ko có cách nào kết nối được với team anh Lâm❤,@KienNguyen-e4k,0,2 tháng trước,Sadness,0.5854823589324951
Chắc cho vũ trụ vlog vào danh sách đen của đường tăng quá😂,@longthanh9058,0,2 tháng trước,Disgust,0.5301460027694702
Đội nhà  chs ko lành mạnh vào chs sinh tồn toàn đi ngủ  để giữ sức còn khách mời thì người ta luôn chân luôn tay ko hết việc.,@hoanganhvu625,0,2 tháng trước,Disgust,0.567857563495636
Vũ Trụ out quá :v,@nhuttran6607,0,2 tháng trước,Sadness,0.6218781471252441
